vg,vd,ids
0,3,1.6078694e-7
0.0025,3,1.6628721e-07
0.0061833333,3,1.7475683e-07
0.011659222,3,1.8820256e-07
0.019800044,3,2.1026479e-07
0.031902732,3,2.4833753e-07
0.049895394,3,3.1937602e-07
0.076644486,3,4.6917018e-07
0.11605482,3,8.4681073e-07
0.16605482,3,1.8345899e-06
0.21605482,3,3.8644734e-06
0.26605482,3,7.4103085e-06
0.31605482,3,1.2547491e-05
0.36605482,3,1.8975204e-05
0.41605482,3,2.6400058e-05
0.46605482,3,3.4639048e-05
0.5,3,4.0615486e-05
