vg,vd,ids
0,4.5,8.7576076e-6
0.0025,4.5,8.8613385e-06
0.0061833333,4.5,9.0157329e-06
0.011659222,4.5,9.2487616e-06
0.019800044,4.5,9.6031211e-06
0.031902732,4.5,1.0148136e-05
0.049895394,4.5,1.1001381e-05
0.076644486,4.5,1.2376606e-05
0.11605482,4.5,1.4686968e-05
0.16605482,4.5,1.8271729e-05
0.21605482,4.5,2.2825628e-05
0.26605482,4.5,2.8509673e-05
0.31605482,4.5,3.5302971e-05
0.36605482,4.5,4.3035244e-05
0.41605482,4.5,5.1497122e-05
0.46605482,4.5,6.0507124e-05
0.5,4.5,6.687167e-05
