vg,vd,ids
0,1.5,5.6638356e-8
0.0025,1.5,5.885984e-08
0.00615,1.5,6.22716e-08
0.011576333,1.5,6.7740855e-08
0.019643482,1.5,7.6846724e-08
0.031636644,1.5,9.2911289e-08
0.049466477,1.5,1.2390096e-07
0.075973495,1.5,1.9262317e-07
0.11502717,1.5,3.7993376e-07
0.16502717,1.5,9.3476226e-07
0.21502717,1.5,2.2368461e-06
0.26502717,1.5,4.8086966e-06
0.31502717,1.5,8.9308152e-06
0.36502717,1.5,1.4502447e-05
0.41502717,1.5,2.1222481e-05
0.46502717,1.5,2.8842465e-05
0.5,1.5,3.4608718e-05
