vg,vd,ids
0,3.5,2.7071662e-7
0.0025,3.5,2.794148e-07
0.0061833333,3.5,2.9278173e-07
0.011659222,3.5,3.1394422e-07
0.019800044,3.5,3.4853262e-07
0.031902732,3.5,4.0788978e-07
0.049895394,3.5,5.1772969e-07
0.076404584,3.5,7.4396077e-07
0.11546146,3.5,1.2991772e-06
0.16546146,3.5,2.6980092e-06
0.21546146,3.5,5.3861378e-06
0.26546146,3.5,9.7651861e-06
0.31546146,3.5,1.5751959e-05
0.36546146,3.5,2.2956227e-05
0.41546146,3.5,3.1138805e-05
0.46546146,3.5,4.0158057e-05
0.5,3.5,4.6791355e-05
