vg,vd,ids
0,2.5,6.232106e-8
0.0025,2.5,6.4840327e-08
0.0061833333,2.5,6.8755325e-08
0.011659222,2.5,7.5057205e-08
0.019800044,2.5,8.5614405e-08
0.031902732,2.5,1.0442528e-07
0.049895394,2.5,1.412518e-07
0.076404584,2.5,2.2384237e-07
0.11546146,2.5,4.541248e-07
0.16546146,2.5,1.144238e-06
0.21546146,2.5,2.7399751e-06
0.26546146,2.5,5.7841932e-06
0.31546146,2.5,1.0447001e-05
0.36546146,2.5,1.6455539e-05
0.41546146,2.5,2.3519202e-05
0.46546146,2.5,3.1450022e-05
0.5,2.5,3.7341723e-05
