vg,vd,ids
0,1,7.5011323e-9
0.0025,1,7.9227521e-09
0.00615,1,8.5840603e-09
0.011576333,1,9.6776948e-09
0.019643482,1,1.1584514e-08
0.031636644,1,1.5185915e-08
0.049466477,1,2.2862524e-08
0.075735764,1,4.2274918e-08
0.11408892,1,1.0538558e-07
0.16408892,1,3.4538366e-07
0.21408892,1,1.0582392e-06
0.26408892,1,2.7868184e-06
0.31408892,1,5.9994813e-06
0.36408892,1,1.0732914e-05
0.41408892,1,1.6714459e-05
0.46408892,1,2.3697345e-05
0.5,1,2.9216891e-05
