vg,vd,ids
0,5,2.9366155e-6
0.0025,5,2.9919334e-06
0.0061833333,5,3.0750559e-06
0.011659222,5,3.2022869e-06
0.019800044,5,3.3998216e-06
0.031902732,5,3.7131453e-06
0.049895394,5,4.226457e-06
0.076644486,5,5.1106954e-06
0.11605482,5,6.7479623e-06
0.16605482,5,9.6206988e-06
0.21605482,5,1.3711362e-05
0.26605482,5,1.9232076e-05
0.31605482,5,2.6101599e-05
0.36605482,5,3.400641e-05
0.41605482,5,4.2678818e-05
0.46605482,5,5.1969337e-05
0.5,5,5.8578809e-05
