vg,vd,ids
0,3.5,5.8747425e-7
0.0025,3.5,6.027553e-07
0.0061833333,3.5,6.2597743e-07
0.011659222,3.5,6.621254e-07
0.019800044,3.5,7.1968024e-07
0.031902732,3.5,8.1461383e-07
0.049895394,3.5,9.7944577e-07
0.076644486,3.5,1.2899428e-06
0.11605482,3.5,1.9490888e-06
0.16605482,3.5,3.3395284e-06
0.21605482,3.5,5.7298371e-06
0.26605482,3.5,9.4853933e-06
0.31605482,3.5,1.468581e-05
0.36605482,3.5,2.1121213e-05
0.41605482,3.5,2.8499265e-05
0.46605482,3.5,3.6598344e-05
0.5,3.5,4.2432426e-05
