vg,vd,ids
0,5,3.5378358e-6
0.0025,5,3.5992287e-06
0.0061833333,5,3.6912342e-06
0.011659222,5,3.8314986e-06
0.019800044,5,4.0479375e-06
0.031902732,5,4.3880139e-06
0.049895394,5,4.9368799e-06
0.076644486,5,5.8600941e-06
0.11605482,5,7.505208e-06
0.16605482,5,1.024929e-05
0.21605482,5,1.4004787e-05
0.26605482,5,1.8996044e-05
0.31605482,5,2.5225681e-05
0.36605482,5,3.2483498e-05
0.41605482,5,4.0530539e-05
0.46605482,5,4.9154272e-05
0.5,5,5.5277469e-05
