vg,vd,ids
0,3,2.0934497e-7
0.0025,3,2.1579258e-07
0.0061833333,3,2.256698e-07
0.011659222,3,2.4123205e-07
0.019800044,3,2.6646989e-07
0.031902732,3,3.0922766e-07
0.049895394,3,3.8688073e-07
0.076644486,3,5.4365956e-07
0.11605482,3,9.1504604e-07
0.16605482,3,1.8237253e-06
0.21605482,3,3.624301e-06
0.26605482,3,6.7669138e-06
0.31605482,3,1.141063e-05
0.36605482,3,1.7380581e-05
0.41605482,3,2.436574e-05
0.46605482,3,3.2131773e-05
0.5,3,3.7768681e-05
