gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,3.5,1.6224173e-7
0.0025,3.5,1.6738955e-7
0.0061833333,3.5,1.7526112e-7
0.011659222,3.5,1.876243e-7
0.019800044,3.5,2.0756274e-7
0.031902732,3.5,2.4099582e-7
0.049895394,3.5,3.0034712e-7
0.076644486,3.5,4.147189e-7
0.11605482,3.5,6.5935027e-7
0.16605482,3.5,1.1581121e-6
0.21605482,3.5,1.9632986e-6
0.26605482,3.5,3.1888247e-6
0.31605482,3.5,4.9430384e-6
0.36605482,3.5,7.2987989e-6
0.41605482,3.5,1.0281694e-5
0.46605482,3.5,1.3882469e-5
0.5,3.5,1.6661725e-5

