gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,2.5,4.6125698e-8
0.0025,2.5,4.8250133e-8
0.0061833333,2.5,5.1578559e-8
0.011659222,2.5,5.7002087e-8
0.019800044,2.5,6.6255907e-8
0.031902732,2.5,8.3190212e-8
0.049895394,2.5,1.1767968e-7
0.076404584,2.5,1.9935364e-7
0.11546146,2.5,4.4284252e-7
0.16546146,2.5,1.214619e-6
0.21546146,2.5,3.0300809e-6
0.26546146,2.5,6.4456545e-6
0.31546146,2.5,1.152077e-5
0.36546146,2.5,1.790812e-5
0.41546146,2.5,2.5379087e-5
0.46546146,2.5,3.3768947e-5
0.5,2.5,4.000354e-5

