gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,3.5,2.9403392e-6
0.0025,3.5,2.9924197e-6
0.0061833333,3.5,3.0705441e-6
0.011659222,3.5,3.189835e-6
0.019800044,3.5,3.3743506e-6
0.031902732,3.5,3.665313e-6
0.049895394,3.5,4.1387806e-6
0.076644486,3.5,4.9454388e-6
0.11605482,3.5,6.4174325e-6
0.16605482,3.5,8.9661473e-6
0.21605482,3.5,1.2576613e-5
0.26605482,3.5,1.7470094e-5
0.31605482,3.5,2.3641062e-5
0.36605482,3.5,3.0889877e-5
0.41605482,3.5,3.8973021e-5
0.46605482,3.5,4.7681699e-5
0.5,3.5,5.3882575e-5

