gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,4.5,9.3641081e-7
0.0025,4.5,9.6193269e-7
0.0061833333,4.5,1.0006764e-6
0.011659222,4.5,1.0608661e-6
0.019800044,4.5,1.1563431e-6
0.031902732,4.5,1.3123932e-6
0.049895394,4.5,1.5785588e-6
0.076644486,4.5,2.0601587e-6
0.11605482,4.5,2.9918646e-6
0.16605482,4.5,4.6260256e-6
0.21605482,4.5,6.8446748e-6
0.26605482,4.5,9.6935486e-6
0.31605482,4.5,1.3178805e-5
0.36605482,4.5,1.7267164e-5
0.41605482,4.5,2.1914754e-5
0.46605482,4.5,2.7058403e-5
0.5,4.5,3.079991e-5

