gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,4.5,2.4360311e-6
0.0025,4.5,2.484078e-6
0.0061833333,4.5,2.5563784e-6
0.011659222,4.5,2.6672873e-6
0.019800044,4.5,2.840039e-6
0.031902732,4.5,3.1153625e-6
0.049895394,4.5,3.5698693e-6
0.076644486,4.5,4.3625566e-6
0.11605482,4.5,5.8588193e-6
0.16605482,4.5,8.5533944e-6
0.21605482,4.5,1.2483259e-5
0.26605482,4.5,1.7870846e-5
0.31605482,4.5,2.4634462e-5
0.36605482,4.5,3.2461586e-5
0.41605482,4.5,4.1081883e-5
0.46605482,4.5,5.0343242e-5
0.5,4.5,5.694088e-5

