gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,3.5,1.8256918e-6
0.0025,3.5,1.8627713e-6
0.0061833333,3.5,1.9186078e-6
0.011659222,3.5,2.0043424e-6
0.019800044,3.5,2.1381936e-6
0.031902732,3.5,2.3521215e-6
0.049895394,3.5,2.7065421e-6
0.076644486,3.5,3.328154e-6
0.11605482,3.5,4.5114357e-6
0.16605482,3.5,6.6749547e-6
0.21605482,3.5,9.9074878e-6
0.26605482,3.5,1.4469051e-5
0.31605482,3.5,2.0371656e-5
0.36605482,3.5,2.740643e-5
0.41605482,3.5,3.5308309e-5
0.46605482,3.5,4.3865512e-5
0.5,3.5,4.9983239e-5

