gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,1.5,1.1472151e-6
0.0025,1.5,1.1747747e-6
0.0061833333,1.5,1.2164484e-6
0.011659222,1.5,1.2808361e-6
0.019800044,1.5,1.3821772e-6
0.031902732,1.5,1.5461161e-6
0.049734025,1.5,1.819984e-6
0.076005464,1.5,2.3064637e-6
0.11471205,1.5,3.2593851e-6
0.16471205,1.5,5.1022069e-6
0.21471205,1.5,7.9643276e-6
0.26471205,1.5,1.212315e-5
0.31471205,1.5,1.7606008e-5
0.36471205,1.5,2.4235382e-5
0.41471205,1.5,3.1759429e-5
0.46471205,1.5,3.9956372e-5
0.5,1.5,4.6059594e-5

