gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,1.5,1.8134134e-8
0.0025,1.5,1.8985844e-8
0.00615,1.5,2.0308387e-8
0.011576333,1.5,2.2463169e-8
0.019643482,1.5,2.6138757e-8
0.031636644,1.5,3.286626e-8
0.049466477,1.5,4.6583083e-8
0.075735764,1.5,7.9251419e-8
0.11443918,1.5,1.7886856e-7
0.16443918,1.5,5.2248534e-7
0.21443918,1.5,1.4518806e-6
0.26443918,1.5,3.5171005e-6
0.31443918,1.5,7.1057333e-6
0.36443918,1.5,1.2179049e-5
0.41443918,1.5,1.8444784e-5
0.46443918,1.5,2.5656742e-5
0.5,1.5,3.1256073e-5

