gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,4.5,1.8660717e-6
0.0025,4.5,1.9046264e-6
0.0061833333,4.5,1.9627031e-6
0.011659222,4.5,2.0519202e-6
0.019800044,4.5,2.1911672e-6
0.031902732,4.5,2.4136839e-6
0.049895394,4.5,2.7820441e-6
0.076644486,4.5,3.4257432e-6
0.11605482,4.5,4.6392416e-6
0.16605482,4.5,6.8213507e-6
0.21605482,4.5,1.0033847e-5
0.26605482,4.5,1.4545549e-5
0.31605482,4.5,2.0380853e-5
0.36605482,4.5,2.7322447e-5
0.41605482,4.5,3.510675e-5
0.46605482,4.5,4.3520354e-5
0.5,4.5,4.9525465e-5

