gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,3.5,1.1222981e-5
0.0025,3.5,1.1340948e-5
0.0061833333,3.5,1.1516189e-5
0.011659222,3.5,1.177993e-5
0.019800044,3.5,1.2179326e-5
0.031902732,3.5,1.2789854e-5
0.049895394,3.5,1.3737217e-5
0.076644486,3.5,1.5245056e-5
0.11605482,3.5,1.7736132e-5
0.16605482,3.5,2.152211e-5
0.21605482,3.5,2.6238375e-5
0.26605482,3.5,3.2032339e-5
0.31605482,3.5,3.8878124e-5
0.36605482,3.5,4.6615996e-5
0.41605482,3.5,5.5057872e-5
0.46605482,3.5,6.4035965e-5
0.5,3.5,7.0360137e-5

