gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,4.5,1.7662339e-6
0.0025,4.5,1.8032469e-6
0.0061833333,4.5,1.8590261e-6
0.011659222,4.5,1.9447706e-6
0.019800044,4.5,2.0787336e-6
0.031902732,4.5,2.2931245e-6
0.049895394,4.5,2.6488201e-6
0.076644486,4.5,3.2724247e-6
0.11605482,4.5,4.4536703e-6
0.16605482,4.5,6.5910057e-6
0.21605482,4.5,9.7569776e-6
0.26605482,4.5,1.4224649e-5
0.31605482,4.5,2.0021352e-5
0.36605482,4.5,2.6929837e-5
0.41605482,4.5,3.4685257e-5
0.46605482,4.5,4.3071987e-5
0.5,4.5,4.906059e-5

