gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,1.5,1.0407128e-8
0.0025,1.5,1.0944115e-8
0.0061833333,1.5,1.1790559e-8
0.011659222,1.5,1.3182695e-8
0.019800044,1.5,1.5590463e-8
0.031902732,1.5,2.0088489e-8
0.049895394,1.5,2.9538155e-8
0.076404584,1.5,5.3023112e-8
0.11546146,1.5,1.2899041e-7
0.16546146,1.5,4.0624259e-7
0.21546146,1.5,1.2013934e-6
0.26546146,1.5,3.0606863e-6
0.31546146,1.5,6.4115829e-6
0.36546146,1.5,1.1244393e-5
0.41546146,1.5,1.7262758e-5
0.46546146,1.5,2.4221773e-5
0.5,1.5,2.947651e-5

