gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,4.5,3.7015842e-6
0.0025,4.5,3.7637688e-6
0.0061833333,4.5,3.8569154e-6
0.011659222,4.5,3.9988233e-6
0.019800044,4.5,4.2175962e-6
0.031902732,4.5,4.5609048e-6
0.049895394,4.5,5.1142388e-6
0.076644486,4.5,6.0440725e-6
0.11605482,4.5,7.7015161e-6
0.16605482,4.5,1.047544e-5
0.21605482,4.5,1.4279846e-5
0.26605482,4.5,1.932831e-5
0.31605482,4.5,2.5620025e-5
0.36605482,4.5,3.2949557e-5
0.41605482,4.5,4.1071628e-5
0.46605482,4.5,4.9792495e-5
0.5,4.5,5.5988235e-5

